model,pred_len,epoch,train_loss,val_loss,r2_val_sklearn
Transencwithlineardec,1,5,33194.58860380575,1058.4908560179174,0.25368714332580566
Transencwithlineardec,1,6,33107.239064618945,1048.7226212769747,0.2605745196342468
Transencwithlineardec,1,7,33033.137914672494,1041.7918610423803,0.26546114683151245
Transencwithlineardec,1,8,32974.94123727456,1034.438812367618,0.2706454396247864
Transencwithlineardec,1,9,32900.7475011684,1029.5540017709136,0.2740897536277771
Transencwithlineardec,1,10,32831.12544457242,1028.957939505577,0.2745100259780884
Transencwithlineardec,1,11,32753.27722942084,1025.2615826502442,0.27711617946624756
Transencwithlineardec,1,12,32673.217464998364,1028.4975273236632,0.2748345732688904
Transencwithlineardec,1,13,32653.163240980357,1026.1042670495808,0.27652204036712646
Transencwithlineardec,1,14,32617.426044937223,1026.0952995568514,0.27652841806411743
Transencwithlineardec,1,15,32579.84511360526,1031.8305157124996,0.27248454093933105
Transencwithlineardec,1,16,32549.08280369267,1026.23596149683,0.2764292359352112
Transencwithlineardec,1,17,32508.035383798182,1038.417362049222,0.26784032583236694
Transencwithlineardec,1,18,32396.681628368795,1039.1642897576094,0.26731371879577637
Transencwithlineardec,1,19,32424.4561843127,1045.565280020237,0.26280057430267334
Transencwithlineardec,1,20,32426.151521600783,1039.9435620605946,0.2667642831802368
Transencwithlineardec,1,1,35273.864067181945,1387.331767115742,0.021830379962921143
Transencwithlineardec,1,2,34635.8610618487,1361.3208752721548,0.04017001390457153
Transencwithlineardec,1,3,34497.84846627712,1345.656943872571,0.05121415853500366
Transencwithlineardec,1,4,34439.94198670983,1337.0921084880829,0.05725300312042236
Transencwithlineardec,1,5,34386.05313819647,1322.014015197754,0.06788414716720581
Transencwithlineardec,1,6,34322.138253971934,1308.1395995914936,0.07766658067703247
Transencwithlineardec,1,7,34209.74538131058,1233.2562474310398,0.1304648518562317
Transencwithlineardec,1,8,33728.04040888697,1116.8958073109388,0.212507426738739
Transencwithlineardec,1,9,33459.83268421143,1069.6699749976397,0.24580508470535278
Transencwithlineardec,1,10,33301.35846186429,1050.6323514059186,0.2592279314994812
Transencwithlineardec,1,11,33151.84417428076,1044.094799503684,0.2638373374938965
Transencwithlineardec,1,12,33087.774549879134,1034.377750068903,0.27068865299224854
Transencwithlineardec,1,13,33187.717790581286,1030.1959643810987,0.2736371159553528
